id	categorie	type	caracteristique	titre	description	special	collection	lien pixabay	texte_choixA	texte_choixB	peuple_modificateur_choixA	peuple_modificateur_choixA_matchtype	parti_modificateur_choixA	parti_modificateur_choixA_goodmatch	monde_modificateur_choixA	monde_modificateur_choixA_goodmatch	gouvernement_modificateur_choixA	gouvernement_modificateur_choixA_goodmatch	peuple_modificateur_choixB	peuple_modificateur_choixB_matchtype	parti_modificateur_choixB	parti_modificateur_choixB_goodmatch	monde_modificateur_choixB	monde_modificateur_choixB_goodmatch	gouvernement_modificateur_choixB	gouvernement_modificateur_choixB_goodmatch	special_choixA	special_choixB
1	politique	debut_de_mandat	NA	Etat de grâce présidentielle	Partout dans le pays, les westerniens ont acceuillis avec beaucoup de joie et de bienveillance la nouvelle de l'élection du Président	0	normal	https://cdn.pixabay.com/photo/2015/06/10/14/06/fireworks-804838_960_720.jpg	C'est le bon moment pour prendre des vacances	Je saurais me montrer à la hauteur de leurs espérances	-10	NA	-10	NA	-5	NA	-5	NA	0	NA	0	NA	0	NA	0	NA	NA	NA
2	culture	societe	progressiste	Bart Tabac affronte les fantômes de l’histoire westernienne	Dans son nouveau roman, l’écrivain fait polémique en évoquant le massacre des pélerins, en Takicardie, perpétré par l’armée westernienne en 1973	0	normal	https://static.pexels.com/photos/316680/pexels-photo-316680.jpeg	Ce genre de brûlots est symptomatique de l'esprit défaitiste qui empoisonne Westernia	Ce sont des oeuvres de ce genre qui font progresser la conscience collective	-2	-2	-4	-8	0	0	0	0	2	2	4	8	0	0	0	0	NA	NA
3	planete	societe	progressiste	Dernière chance pour la biodiversité : les betteraves d'antan	Face à la déperdition des variétés de betteraves cultivées, des activistes tentent,de faire revivre ce patrimoine agricole et culturel	0	normal	https://cdn.pixabay.com/photo/2016/09/01/20/11/beet-1637440_960_720.jpg	J'ai jamais aimé la betterave	Il faut créer une nouvelle taxe pour préserver l'avenir	2	2	0	-6	0	0	0	0	-2	-2	0	6	0	0	0	0	NA	NA
4	sciences	societe	reactionnaire	Les IAs sont potentiellement plus dangereuses que les bombes atomiques	Tout cela pourrait prêter à sourire si ces propos n’émanaient de personnalités qui ne sont pas vraiment technophobes	0	normal	http://www.stockvault.net/data/2016/05/17/198275/preview16.jpg	Il faut faire enfermer ces IAs dans des prisons spécialisées	Confions-leur les bombes !	0	0	0	5	5	7	-2	0	-2	-2	0	-7	-5	-7	2	0	NA	NA
5	politique	societe	conservateur	Remaniement-Gouvernement : la nouvelle composition dévoilée	Le gouvernement fait peau neuve mais les problèmes restent les mêmes	0	normal	https://cdn.pixabay.com/photo/2015/09/21/22/48/napoleon-950853_960_720.jpg	Les postes clés restent entre les mains des partisans	Le budget du Sénat mérite un ministère à part entière !	0	0	10	12	0	0	-10	-12	0	0	-10	-12	0	0	10	12	NA	NA
6	politique	debut_de_mandat	NA	Le Président compose son gouvernement et cherche une majorité	"Celui qui a fait campagne sur le thème du ""renouvellement politique"", dévoilera dans les prochains jours la composition du gouvernement. Selon son entourage, un Premier ministre de l'Opposition n'est pas exclu."	0	normal	https://cdn.pixabay.com/photo/2016/01/29/07/09/castle-of-fontainebleau-1167446_960_720.jpg	Garde tes amis près de toi…	...et tes ennemis plus près encore	0	NA	10	NA	0	NA	-10	NA	0	NA	-10	NA	0	NA	10	NA	NA	NA
7	culture	faits_divers	NA	La biographie du Président	Les meilleurs journalistes du pays ont publiés, avec l'autorisation du gouvernement, ce qui s'annonce sans doute comme le best-seller de l'année	0	normal	https://cdn.pixabay.com/photo/2016/12/02/09/41/beijing-1877354_960_720.jpg	C'est l'occasion que j'attendais pour régler mes comptes	Mon engagement politique a toujours dirigé mes choix	0	0	-5	NA	0	NA	5	NA	0	NA	5	NA	0	NA	-5	NA	NA	NA
8	societe	societe	conservateur	Inflation des demandes de pièces justificatives	Selon une enquête, une personne sur deux a eu du mal à résoudre un problème avec l’administration au cours des cinq dernières années	0	normal	https://cdn.pixabay.com/photo/2017/02/28/21/43/bureaucracy-2106924_960_720.jpg	Personne n’accepterait une telle prestation d’une entreprise privée	Il manque encore une pièce à votre dossier	3	6	0	0	0	0	-3	-6	-5	-3	0	0	0	0	3	6	NA	NA
9	economie	economie	pragmatique	Westernia au troisième rang mondial des vendeurs d'armes	Le volume d'armement échangé dans le monde n'a cessé d'augmenter ces dernières années tandis que les grandes puissances ont multipliés les déclarations en faveur de la paix	0	normal	https://cdn.pixabay.com/photo/2013/03/02/01/25/bullets-89083_960_720.jpg	Il ne peut y avoir de vendeur sans acheteur	À vomir d'hypocrisie	0	0	2	5	-5	-7	3	3	0	0	-2	-5	3	5	-3	-3	NA	NA
10	planete	economie	capitaliste	Le gaz de schiste bientôt exploité dans le Nord-ouest de Westernia?	Plusieurs compagnies gazières ont obtenues un permis pour rechercher du gaz de schiste et, à terme, envisage son exploitation. En dépit des dommages environnementaux et sanitaires évidents, une indemnité substantielle serait versée aux riverains	0	normal	https://cdn.pixabay.com/photo/2015/07/27/19/42/drilling-rig-863281_960_720.jpg	Les finances de nos compatriotes passent avant leur environnement	Le charbon est roi à Westernia, il n'y a pas de place pour le schiste	-2	-3	2	4	0	0	0	0	2	1	-2	-4	0	0	0	0	NA	NA
